Company Name, Amount of Fine, Date, Details of Fine,Law Firm,Industry,Industry Keywords
Diversified Consultants Inc.,2800000, July 2021, Illegal robocalls, Ballard Spahr, Debt Collection, Debt Collection;Florida;Debt Collection;Robocalls;Legal Services;Finance,,
American Express,8900000, April 2017, Sued for sending unauthorized marketing texts to consumers, Not available, Financial Services, Financial Services;Unauthorized Marketing Texts;Legal Services,,
FedEx,3000000, October 2020, Allegedly violated TCPA by sending unsolicited text messages to recipients, Not available, Logistics, Logistics;Unsolicited Text Messages;Legal Services,,
Vonage Holdings,2300000, March 2019, Fined for making automated marketing calls without consent, Not available, Telecommunications, Telecommunications;Automated Marketing Calls;Legal Services   ,,
CenturyLink,10500000, July 2018, Sued for automated telemarketing calls to consumers without consent, Not available, Telecommunications, Telecommunications;Automated Telemarketing Calls;Legal Services,,
AmeriSave Mortgage,21700000, December 2013, Accused of sending unwanted advertising text messages, Not available, Mortgage, Mortgage;Unwanted Advertising Text Messages;Legal Services,,
Travelocity,12000000, June 2016, Fined for automated marketing calls to consumers without consent, Not available, Travel, Travel;Automated Marketing Calls;Legal Services,,
US Bank,6500000, August 2019, Sued for making unauthorized robocalls to customers, Not available, Banking, Banking;Unauthorized Robocalls;Legal Services,,
Verizon Communications,9500000, October 2017, Allegedly violated TCPA by sending unsolicited text messages to subscribers, Not available, Telecommunications, Telecommunications;Unsolicited Text Messages;Legal Services   ,,
Walmart Stores,7000000, March 2018, Fined for sending unsolicited text messages to customers, Not available, Retail, Retail;Unsolicited Text Messages;Legal Services,,
State Farm Insurance,5000000, May 2016, Sued for automated marketing calls without consent, Not available, Insurance, Insurance;Automated Marketing Calls;Legal Services,,
Wells Fargo,17900000, March 2016, Allegedly violated TCPA by making unsolicited robocalls to consumers, Not available, Banking, Banking;Unsolicited Robocalls;Legal Services,,
American Airlines,45000000, February 2018, Sued for sending automated marketing calls without consent, Not available, Aviation, Aviation;Automated Marketing Calls;Legal Services,,
Bank of America,32000000, June 2019, Fined for making unauthorized robocalls to consumers, Not available, Banking, Banking;Unauthorized Robocalls;Legal Services,,
Walmart,12500000, October 2017, Accused of sending unsolicited text messages to customers, Not available, Retail, Retail;Unsolicited Text Messages;Legal Services   ,,
Uber,20000000, May 2021, Fined for sending unauthorized text messages to users, Not available, Technology, Technology;Unauthorized Text Messages;Legal Services,,
Sprint,7500000, October 2018, Sued for making automated telemarketing calls without consent, Not available, Telecommunications, Telecommunications;Automated Telemarketing Calls;Legal Services,,
AT&T,60000000, June 2015, Allegedly violated TCPA by making unsolicited robocalls to consumers, Not available, Telecommunications, Telecommunications;Unsolicited Robocalls;Legal Services,,
Comcast,9100000, April 2016, Fined for sending automated marketing calls to subscribers, Not available, Telecommunications, Telecommunications;Automated Marketing Calls;Legal Services,,
Facebook,4500000, July 2020, Sued for sending unsolicited text messages to users, Not available, Technology, Technology;Unsolicited Text Messages;Legal Services,,
LinkedIn,13000000, December 2016, Fined for sending unwanted email invitations to contacts, Not available, Technology, Technology;Unwanted Email Invitations;Legal Services   ,,
Amazon,7000000, February 2018, Allegedly violated TCPA by sending unauthorized promotional text messages to consumers, Not available, E-commerce, E-commerce;Unauthorized Text Messages;Legal Services,,
T-Mobile,91000000, April 2020, Sued for making automated marketing calls without consent, Not available, Telecommunications, Telecommunications;Automated Marketing Calls;Legal Services,,
Verizon,16700000, May 2018, Fined for sending automated telemarketing calls to subscribers, Not available, Telecommunications, Telecommunications;Automated Telemarketing Calls;Legal Services,,
Chase Bank,32000000, August 2019, Accused of making unauthorized robocalls to customers, Not available, Banking, Banking;Unauthorized Robocalls;Legal Services,,
Delta Air Lines,45000000, October 2018, Sued for sending automated marketing calls without consent, Not available, Aviation, Aviation;Automated Marketing Calls;Legal Services,,
McDonald's,6000000, March 2020, Fined for sending unsolicited text messages to customers, Not available, Food Service, Food Service;Unsolicited Text Messages;Legal Services   ,,
Expedia,10000000, September 2017, Allegedly violated TCPA by sending unauthorized marketing text messages to consumers, Not available, Travel, Travel;Unauthorized Marketing Text Messages;Legal Services,,
Hilton Worldwide,21000000, June 2016, Sued for making automated telemarketing calls without consent, Not available, Hospitality, Hospitality;Automated Telemarketing Calls;Legal Services,,
Home Depot,8500000, November 2020, Fined for sending unauthorized text messages to customers, Not available, Retail, Retail;Unauthorized Text Messages;Legal Services,,
